batch_id,medicine_id,medicine_name,expiry_date,quantity_vien,branch_id
B1,M47,Thuoc_M47,2025-06-24,1200,CN7
B2,M29,Thuoc_M29,2025-07-21,1800,CN8
B3,M34,Thuoc_M34,2025-04-30,1400,CN3
B4,M8,Thuoc_M8,2027-06-05,700,CN7
B5,M28,Thuoc_M28,2027-06-04,100,CN5
B6,M5,Thuoc_M5,2026-05-11,1900,CN3
B7,M22,Thuoc_M22,2027-04-11,1700,CN10
B8,M34,Thuoc_M34,2027-06-15,1200,CN2
B9,M19,Thuoc_M19,2025-04-11,1100,CN2
B10,M16,Thuoc_M16,2025-08-27,1900,CN9
B11,M34,Thuoc_M34,2025-11-02,700,CN4
B12,M19,Thuoc_M19,2027-07-04,900,CN10
B13,M25,Thuoc_M25,2026-10-29,800,CN9
B14,M36,Thuoc_M36,2027-02-16,200,CN10
B15,M16,Thuoc_M16,2025-12-25,1100,CN4
B16,M50,Thuoc_M50,2026-06-17,1700,CN10
B17,M12,Thuoc_M12,2025-04-22,1600,CN6
B18,M4,Thuoc_M4,2025-03-24,500,CN3
B19,M16,Thuoc_M16,2027-07-02,700,CN8
B20,M35,Thuoc_M35,2026-04-15,200,CN8
B21,M46,Thuoc_M46,2027-07-08,1900,CN9
B22,M27,Thuoc_M27,2025-12-27,1700,CN3
B23,M4,Thuoc_M4,2027-07-03,600,CN9
B24,M43,Thuoc_M43,2025-10-11,300,CN5
B25,M7,Thuoc_M7,2025-04-21,1100,CN9
B26,M8,Thuoc_M8,2026-12-19,1500,CN1
B27,M37,Thuoc_M37,2026-04-30,1400,CN5
B28,M40,Thuoc_M40,2025-05-30,1800,CN8
B29,M16,Thuoc_M16,2025-12-03,1400,CN3
B30,M49,Thuoc_M49,2025-09-12,900,CN2
B31,M6,Thuoc_M6,2026-01-26,200,CN9
B32,M27,Thuoc_M27,2025-07-24,1900,CN4
B33,M43,Thuoc_M43,2026-08-24,1500,CN5
B34,M14,Thuoc_M14,2026-12-20,1400,CN6
B35,M1,Thuoc_M1,2026-02-21,1500,CN4
B36,M3,Thuoc_M3,2026-10-02,1300,CN3
B37,M13,Thuoc_M13,2026-09-25,500,CN7
B38,M31,Thuoc_M31,2025-07-19,500,CN1
B39,M39,Thuoc_M39,2026-10-14,1800,CN9
